EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-03-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at https://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
 4544,KR. RAVENSBURG WEINGARTEN                   ,DE  ,+47:48:25,+009:37:18,  440
 4545,RECKLINGHAUSEN                              ,DE  ,+51:37:32,+007:10:58,  109
 4546,BERLIN-KANISWALL                            ,DE  ,+52:24:20,+013:43:58,   33
 4547,BAD REICHENHALL                             ,DE  ,+47:43:28,+012:52:32,  470
 4549,MARIENBERG-REITZENHAIN                      ,DE  ,+50:33:41,+013:13:26,  764
 4550,REMETSCHWIEL                                ,DE  ,+47:40:45,+008:09:12,  760
 4551,REMSCHEID-LENNEP                            ,DE  ,+51:10:51,+007:15:05,  345
 4552,RENDSBURG                                   ,DE  ,+54:17:21,+009:40:33,    8
 4553,RENNINGEN-IHINGER HOF                       ,DE  ,+48:44:36,+008:55:30,  478
 4554,REUTLINGEN-BETZINGEN                        ,DE  ,+48:30:21,+009:11:03,  360
 4555,RHEINAU-MEMPRECHTSHOFEN                     ,DE  ,+48:40:15,+007:59:44,  131
 4556,BERLIN-LICHTENRADE                          ,DE  ,+52:24:29,+013:24:51,   47
 4557,RHEINE-BENTLAGE                             ,DE  ,+52:17:21,+007:23:11,   40
 4558,RHEINFELDEN                                 ,DE  ,+47:33:48,+007:47:39,  287
 4559,BERLIN-LICHTERFELDE (SUD)                   ,DE  ,+52:24:56,+013:18:19,   43
 4560,KREIS BIBERACH ALTHEIM                      ,DE  ,+48:08:56,+009:27:38,  533
 4561,BERLIN-MARZAHN                              ,DE  ,+52:32:45,+013:33:42,   60
 4562,RODEWISCH                                   ,DE  ,+50:31:39,+012:24:38,  464
 4563,BERLIN-MITTE                                ,DE  ,+52:31:59,+013:22:59,   35
 4564,ROHRIGSHOF BEI SCHLUCHTERN                  ,DE  ,+50:22:59,+009:31:00,  397
 4565,ROETGEN                                     ,DE  ,+50:38:30,+006:12:23,  440
 4566,BERLIN-RUDOW                                ,DE  ,+52:24:20,+013:29:08,   38
 4567,ROSENHEIM                                   ,DE  ,+47:52:33,+012:07:45,  444
 4568,ROTENBURG (WUMME)                           ,DE  ,+53:07:49,+009:20:26,   32
 4569,ROTH BEI NURNBERG                           ,DE  ,+49:15:07,+011:05:40,  340
 4570,BERLIN-SCHONEFELD                           ,DE  ,+52:22:55,+013:31:57,   46
 4571,ROTH                                        ,DE  ,+49:12:57,+011:06:09,  385
 4572,ROTHENBURG OB DER TAUBER                    ,DE  ,+49:23:08,+010:10:27,  415
 4573,BAD ROTHENFELDE                             ,DE  ,+52:06:19,+008:10:58,   95
 4574,ROTTENBURG-KIEBINGEN                        ,DE  ,+48:28:17,+008:58:10,  360
 4575,BERLIN-SPANDAU                              ,DE  ,+52:34:05,+013:10:15,   32
 4576,ROTTWEIL                                    ,DE  ,+48:10:55,+008:38:09,  588
 4577,BAD KREUZNACH                               ,DE  ,+49:51:06,+007:52:21,  102
 4578,RUHWINKEL                                   ,DE  ,+54:05:42,+010:13:24,   36
 4579,RUPPERTSECKEN                               ,DE  ,+49:38:52,+007:53:03,  461
 4580,RUSEL-IRLMOOS                               ,DE  ,+48:52:39,+013:03:02,  797
 4581,BERLIN-TEGELER FLIESSTAL                    ,DE  ,+52:36:20,+013:17:48,   36
 4582,RUTESHEIM                                   ,DE  ,+48:48:12,+008:57:24,  449
 4583,SAALFELD                                    ,DE  ,+50:39:27,+011:23:26,  235
 4584,SAARBRUCKEN-SANKT JOHANN                    ,DE  ,+49:13:27,+007:01:03,  193
 4585,SACHSENHEIM                                 ,DE  ,+48:57:28,+009:04:19,  248
 4586,BERLIN-TREPTOW                              ,DE  ,+52:27:24,+013:28:18,   35
 4587,SALDENBURG-ENTSCHENREUTH                    ,DE  ,+48:47:03,+013:18:57,  456
 4588,BERLIN-ZEHLENDORF                           ,DE  ,+52:25:49,+013:14:03,   45
 4589,SALZGITTER-RINGELHEIM                       ,DE  ,+52:02:12,+010:18:24,  138
 4590,SALZHEMMENDORF-LAUENSTEIN                   ,DE  ,+52:04:45,+009:33:11,  175
 4591,BAD SALZUFLEN                               ,DE  ,+52:06:20,+008:45:11,  135
 4592,SALZWEDEL                                   ,DE  ,+52:51:29,+011:08:39,   23
 4593,SANDBERG                                    ,DE  ,+50:21:11,+010:00:15,  510
 4594,SANKT PETER-ORDING                          ,DE  ,+54:19:46,+008:36:10,    5
 4595,SANKT WENDEL-HOF                            ,DE  ,+49:28:05,+007:12:15,  400
 4596,SANKT WENDEL-URWEILER                       ,DE  ,+49:30:12,+007:12:10,  400
 4597,BAD-OSTINGHAUSEN SASSENDORF                 ,DE  ,+51:38:04,+008:11:17,   81
 4598,SCHAAFHEIM-SCHLIERBACH                      ,DE  ,+49:55:13,+008:58:05,  155
 4599,SCHALLSTADT-MENGEN                          ,DE  ,+47:57:39,+007:42:45,  215
 4600,SCHAUMBERG-THOLEY                           ,DE  ,+49:29:15,+007:01:46,  569
 4601,SCHEMMERHOFEN-INGERKINGEN                   ,DE  ,+48:12:01,+009:46:15,  519
 4602,SCHENKLENGSFELD                             ,DE  ,+50:49:04,+009:50:49,  314
 4603,SCHESSLITZ                                  ,DE  ,+49:58:33,+011:02:26,  317
 4604,SCHIEDER                                    ,DE  ,+51:54:47,+009:09:15,  155
 4605,SCHIERKE                                    ,DE  ,+51:46:00,+010:39:18,  609
 4606,BERNBURG/SAALE (NORD)                       ,DE  ,+51:49:23,+011:42:41,   84
 4607,SCHLEIZ                                     ,DE  ,+50:34:14,+011:48:20,  501
 4608,SCHLESWIG-STADTFELD                         ,DE  ,+54:31:27,+009:33:57,   19
 4609,SCHLOSSBOCKELHEIM                           ,DE  ,+49:47:49,+007:45:33,  170
 4610,SCHLUCHTERN-KLOSTER GOMFRITZ                ,DE  ,+50:23:09,+009:32:12,  375
 4611,SCHLUCHTERN-HEROLZ                          ,DE  ,+50:20:44,+009:33:18,  230
 4612,SCHMALENBECK                                ,DE  ,+53:39:47,+010:15:20,   45
 4613,SCHMALKALDEN                                ,DE  ,+50:43:35,+010:27:19,  330
 4614,SCHMATZFELD                                 ,DE  ,+51:52:59,+010:46:00,  198
 4615,SCHMELZ-HUTTERSDORF                         ,DE  ,+49:25:23,+006:50:25,  223
 4616,GROSSENKNETEN                               ,DE  ,+52:56:06,+008:14:08,   44
 4617,SCHMUCKE                                    ,DE  ,+50:39:20,+010:46:15,  937
 4618,SCHNEIFELFORSTHAUS                          ,DE  ,+50:18:00,+006:25:01,  649
 4619,BERNKASTEL-KUES                             ,DE  ,+49:55:06,+007:04:05,  120
 4620,SELB/OBERFRANKEN-LAUTERBACH                 ,DE  ,+50:12:20,+012:08:42,  609
 4621,SCHOPFHEIM-EICHEN                           ,DE  ,+47:38:49,+007:50:39,  400
 4622,SCHORNDORF-KNOBLING                         ,DE  ,+49:09:56,+012:37:09,  399
 4623,SCHOTTEN                                    ,DE  ,+50:29:38,+009:07:26,  265
 4624,SCHULENBERG                                 ,DE  ,+51:50:17,+010:25:57,  504
 4625,SCHWABACH (A)                               ,DE  ,+49:19:37,+011:00:47,  343
 4626,SCHWABISCH GMUND-STRASSDORF                 ,DE  ,+48:46:40,+009:48:12,  415
 4627,SCHWABISCH HALL-BIBERSFELD                  ,DE  ,+49:04:58,+009:41:17,  349
 4628,SCHWAIGERMOOS                               ,DE  ,+48:22:00,+011:48:00,  444
 4629,BAD SCHWALBACH                              ,DE  ,+50:08:26,+008:03:48,  320
 4630,SCHWANDORF                                  ,DE  ,+49:19:44,+012:05:18,  356
 4631,SCHWANEBECK                                 ,DE  ,+51:57:55,+011:07:19,  117
 4632,SCHWANGAU-HORN                              ,DE  ,+47:34:40,+010:43:09,  792
 4633,SCHWARZBURG                                 ,DE  ,+50:38:44,+011:11:40,  277
 4634,BERUS                                       ,DE  ,+49:15:55,+006:41:16,  363
 4635,SCHWEINFURT-GARTENSTADT                     ,DE  ,+50:03:30,+010:13:01,  240
 4636,SCHWESING                                   ,DE  ,+54:31:05,+009:08:35,   37
 4637,SEEHAUSEN                                   ,DE  ,+52:53:34,+011:43:50,   21
 4638,SEELSCHEID                                  ,DE  ,+50:52:15,+007:19:24,  214
 4639,SEESEN                                      ,DE  ,+51:54:20,+010:11:24,  186
 4640,BAD SEGEBERG                                ,DE  ,+53:55:45,+010:18:02,   49
 4641,SELB/OBERFRANKEN-WILDENAU                   ,DE  ,+50:11:53,+012:10:27,  611
 4642,SIEGEN (KLARANLAGE)                         ,DE  ,+50:51:16,+007:59:51,  263
 4643,SIGMARINGEN (FLUGPLATZ)                     ,DE  ,+48:06:00,+009:15:00,  645
 4644,SIGMARINGEN-LAIZ                            ,DE  ,+48:04:22,+009:11:43,  580
 4645,SIGMARSZELL-ZEISERTSWEILER                  ,DE  ,+47:34:42,+009:44:30,  507
 4646,SILBERHUTTE                                 ,DE  ,+49:45:38,+012:23:26,  819
 4647,SIMBACH/INN                                 ,DE  ,+48:16:22,+013:01:44,  360
 4648,SIMMERN-WAHLBACH                            ,DE  ,+50:00:06,+007:35:49,  437
 4649,SINSHEIM                                    ,DE  ,+49:14:44,+008:52:46,  169
 4650,STEINAU-SEIDENROTH                          ,DE  ,+50:17:21,+009:27:33,  342
 4651,SOLINGEN-HOHENSCHEID                        ,DE  ,+51:08:27,+007:05:39,  154
 4652,SOLTAU                                      ,DE  ,+52:57:42,+009:47:48,   76
 4653,SONDERSHAUSEN                               ,DE  ,+51:21:11,+010:54:25,  216
 4654,WARTHAUSEN-BIRKENHARD                       ,DE  ,+48:07:33,+009:45:54,  599
 4655,SONNEBERG-NEUFANG                           ,DE  ,+50:22:32,+011:11:03,  626
 4656,SONTRA                                      ,DE  ,+51:03:42,+009:55:39,  365
 4657,BAD SOODEN-ALLENDORF                        ,DE  ,+51:16:53,+009:59:09,  199
 4658,SPEINSHART                                  ,DE  ,+49:47:12,+011:49:21,  424
 4659,SPOREN-PRUSSENDORF                          ,DE  ,+51:36:19,+012:06:38,   87
 4660,BIEDENKOPF                                  ,DE  ,+50:55:15,+008:31:40,  349
 4661,STAMMBACH-QUERENBACH                        ,DE  ,+50:09:15,+011:44:30,  598
 4662,STEGEN                                      ,DE  ,+47:59:16,+007:56:51,  363
 4663,KR. CUXHAVEN STEINAU                        ,DE  ,+53:41:44,+008:52:30,    1
 4664,STEINBERG                                   ,DE  ,+51:21:51,+009:41:29,  500
 4665,MITTELNKIRCHEN-HOHENFELDE                   ,DE  ,+53:33:10,+009:36:33,    1
 4666,STIEGE                                      ,DE  ,+51:40:09,+010:53:00,  494
 4667,STOCKACH                                    ,DE  ,+47:51:36,+009:00:59,  532
 4668,WAGERSROTT                                  ,DE  ,+54:40:00,+009:48:16,   40
 4669,STUTTGART (NECKARTAL)                       ,DE  ,+48:47:26,+009:13:04,  224
 4670,STUTTGART-STADT                             ,DE  ,+48:46:13,+009:10:57,  286
 4671,STUTTGART-HOHENHEIM                         ,DE  ,+48:42:52,+009:12:37,  401
 4672,TANGERMUNDE                                 ,DE  ,+52:32:45,+011:58:26,   45
 4673,TANN/RHON                                   ,DE  ,+50:38:22,+010:01:23,  395
 4674,TAUBERBISCHOFSHEIM-DITTIGHEIM               ,DE  ,+49:36:47,+009:40:32,  179
 4675,TEGKWITZ                                    ,DE  ,+50:58:44,+012:20:40,  193
 4676,TETEROW                                     ,DE  ,+53:45:45,+012:33:29,   38
 4677,WORPSWEDE-HUTTENBUSCH                       ,DE  ,+53:16:39,+008:59:12,    7
 4678,TEUSCHNITZ                                  ,DE  ,+50:24:05,+011:23:25,  633
 4679,THEESSEN                                    ,DE  ,+52:13:59,+012:03:00,   61
 4680,THOLEY                                      ,DE  ,+49:28:28,+007:02:21,  386
 4681,BISCHBRUNN                                  ,DE  ,+49:52:32,+009:29:21,  412
 4682,THUNGERSHEIM                                ,DE  ,+49:52:55,+009:50:47,  185
 4683,TIEFENORT                                   ,DE  ,+50:50:39,+010:09:45,  236
 4684,TIRSCHENREUTH-LODERMUHL                     ,DE  ,+49:51:32,+012:21:20,  500
 4685,TITISEE-NEUSTADT-LANGENORDNACH              ,DE  ,+47:56:25,+008:11:39,  870
 4688,TONISVORST                                  ,DE  ,+51:17:27,+006:26:42,   37
 4689,TORFHAUS IM SOLLING                         ,DE  ,+51:45:56,+009:33:50,  491
 4690,TRAUNSTEIN-SPARZ                            ,DE  ,+47:52:01,+012:39:29,  626
 4691,TRAUNSTEIN-AXDORF                           ,DE  ,+47:51:09,+012:37:10,  635
 4692,TRAVEMUNDE                                  ,DE  ,+53:57:51,+010:53:29,    2
 4693,TRENT                                       ,DE  ,+54:32:07,+013:14:52,    3
 4694,TRIBSEES                                    ,DE  ,+54:04:05,+012:46:08,   10
 4695,TRIER-ZEWEN                                 ,DE  ,+49:43:57,+006:36:47,  132
 4696,TROCHTELFINGEN                              ,DE  ,+48:18:51,+009:14:53,  700
 4697,TROCHTELFINGEN-WILSINGEN                    ,DE  ,+48:16:55,+009:18:52,  769
 4698,TROLLENHAGEN                                ,DE  ,+53:36:07,+013:18:21,   69
 4699,TROSTBERG                                   ,DE  ,+48:01:54,+012:32:27,  559
 4700,TUBINGEN                                    ,DE  ,+48:31:14,+009:03:09,  370
 4701,TUTTLINGEN                                  ,DE  ,+48:00:33,+008:49:08,  649
 4702,TUTTLINGEN-MOHRINGEN                        ,DE  ,+47:57:21,+008:45:27,  675
 4703,TWISTETAL-MUHLHAUSEN                        ,DE  ,+51:20:08,+008:54:51,  295
 4704,UBERLINGEN/BODENSEE                         ,DE  ,+47:46:19,+009:09:25,  446
 4705,UECKERMUNDE                                 ,DE  ,+53:44:45,+014:04:10,    1
 4706,UELZEN                                      ,DE  ,+52:56:34,+010:31:48,   50
 4707,GOLLHOFEN                                   ,DE  ,+49:34:31,+010:11:34,  308
 4708,ULM                                         ,DE  ,+48:23:04,+009:57:14,  567
 4709,UMMENDORF                                   ,DE  ,+52:09:42,+011:10:36,  162
 4710,UNTERLUSS                                   ,DE  ,+52:51:05,+010:17:27,   95
 4711,UTTENREUTH                                  ,DE  ,+49:35:39,+011:04:18,  291
 4712,VILLINGEN-SCHWENNINGEN                      ,DE  ,+48:02:45,+008:27:42,  720
 4713,VISBEK                                      ,DE  ,+52:49:59,+008:18:43,   51
 4714,VOLKLINGEN-STADT                            ,DE  ,+49:15:33,+006:51:42,  220
 4715,VOGTSBURG-OBERROTWEIL                       ,DE  ,+48:05:30,+007:38:09,  223
 4716,VOLDAGSEN                                   ,DE  ,+52:06:15,+009:35:08,  100
 4717,WACKERSLEBEN                                ,DE  ,+52:04:24,+011:01:24,   86
 4718,BAD BLANKENBURG                             ,DE  ,+50:40:30,+011:16:54,  254
 4719,WAGHAUSEL-KIRRLACH                          ,DE  ,+49:14:44,+008:32:17,  105
 4720,WAHLEN                                      ,DE  ,+50:48:45,+009:07:42,  349
 4721,WAHLSBURG-LIPPOLDSBERG                      ,DE  ,+51:37:10,+009:34:37,  176
 4722,WITTENBORN                                  ,DE  ,+53:55:17,+010:13:50,   39
 4723,WAIBLINGEN                                  ,DE  ,+48:49:44,+009:19:26,  224
 4724,WALDAU-JOSTAL                               ,DE  ,+47:58:36,+008:09:24, 1005
 4725,WALDECK                                     ,DE  ,+51:12:29,+009:04:00,  376
 4726,AHRENSBURG-WULFSDORF                        ,DE  ,+53:39:50,+010:12:01,   46
 4727,WALDEMS-REINBORN                            ,DE  ,+50:15:39,+008:21:39,  380
 4728,WALDHAUSER (NATIONAL PARK)                  ,DE  ,+48:55:49,+013:27:56,  940
 4729,WALDSASSEN                                  ,DE  ,+50:00:38,+012:17:57,  509
 4730,WALDSHUT                                    ,DE  ,+47:37:05,+008:14:22,  330
 4731,WALTERSHAUSEN                               ,DE  ,+50:53:51,+010:32:58,  353
 4732,WANGEROOGE                                  ,DE  ,+53:47:18,+007:54:27,    3
 4733,WARBURG                                     ,DE  ,+51:30:19,+009:06:46,  236
 4734,WAREN                                       ,DE  ,+53:31:17,+012:40:09,   70
 4735,BLANKENRATH                                 ,DE  ,+50:02:12,+007:18:20,  417
 4736,WARTENBERG-ANGERSBACH                       ,DE  ,+50:37:41,+009:26:35,  270
 4737,WASSERBURG                                  ,DE  ,+48:03:29,+012:13:18,  443
 4738,WATZMANNHAUS                                ,DE  ,+47:34:19,+012:56:07, 1923
 4739,KR.ANSBACH WEIDENBACH                       ,DE  ,+49:11:51,+010:39:00,  425
 4740,WEIGENHEIM-REUSCH                           ,DE  ,+49:35:27,+010:15:36,  309
 4741,WEIHENSTEPHAN-DURNAST                       ,DE  ,+48:24:11,+011:41:44,  477
 4742,WEILBURG (KLARANLAGE)                       ,DE  ,+50:28:27,+008:15:34,  150
 4743,WEIMAR                                      ,DE  ,+50:58:32,+011:18:33,  264
 4744,WEIMAR-SCHONDORF                            ,DE  ,+51:01:09,+011:21:20,  325
 4745,WEINBIET                                    ,DE  ,+49:22:36,+008:07:21,  553
 4746,WEINSBERG                                   ,DE  ,+49:09:07,+009:17:35,  219
 4747,WEISKIRCHEN/SAAR                            ,DE  ,+49:33:18,+006:48:45,  380
 4748,WEISMAIN                                    ,DE  ,+50:05:12,+011:14:16,  317
 4749,WEISSACH                                    ,DE  ,+48:50:48,+008:54:32,  455
 4750,WEISSENBURG                                 ,DE  ,+49:01:13,+010:57:42,  422
 4751,WEISSENFELS                                 ,DE  ,+51:13:04,+011:58:21,  115
 4752,WEISSENSEE-OTTENHAUSEN                      ,DE  ,+51:12:47,+010:59:48,  165
 4753,WEISWEIL-WALDECKHOF                         ,DE  ,+48:11:21,+007:41:54,  173
 4754,WELLENDINGEN                                ,DE  ,+48:08:54,+008:41:47,  655
 4755,WELLMITZ                                    ,DE  ,+52:04:00,+014:41:30,   58
 4756,WERL                                        ,DE  ,+51:34:40,+007:53:20,   85
 4757,KR. SCHWEINFURT MUHLHAUSEN                  ,DE  ,+49:57:47,+010:02:57,  216
 4758,WERNIGERODE                                 ,DE  ,+51:50:52,+010:46:10,  234
 4759,WERTHEIM-EICHEL                             ,DE  ,+49:46:04,+009:32:38,  140
 4760,BOBECK                                      ,DE  ,+50:54:20,+011:47:57,  337
 4761,WESTERLAND                                  ,DE  ,+54:54:02,+008:18:47,    3
 4762,WIELENBACH (DEMOLLSTR.)                     ,DE  ,+47:53:00,+011:09:32,  550
 4763,BOCHOLT (MARIENSCHULE)                      ,DE  ,+51:50:21,+006:36:41,   25
 4764,WIESBADEN-AURINGEN                          ,DE  ,+50:07:59,+008:19:04,  263
 4765,WIESBADEN-DOTZHEIM                          ,DE  ,+50:05:15,+008:11:17,  235
 4766,WIESENBURG                                  ,DE  ,+52:07:19,+012:27:36,  187
 4767,BOCHOLT                                     ,DE  ,+51:49:51,+006:32:09,   21
 4768,BAD-CALMBACH WILDBAD                        ,DE  ,+48:47:08,+008:34:37,  385
 4769,BOCHUM                                      ,DE  ,+51:28:49,+007:16:14,  101
 4770,NEUBULACH-OBERHAUGSTETT                     ,DE  ,+48:39:09,+008:40:51,  570
 4771,BAD WILDUNGEN                               ,DE  ,+51:06:24,+009:06:33,  310
 4772,WILHELMSHAVEN                               ,DE  ,+53:35:30,+008:06:24,    1
 4774,REMS-MURR-KREIS WINTERBACH                  ,DE  ,+48:48:15,+009:28:14,  240
 4775,WISMAR                                      ,DE  ,+53:53:40,+011:25:31,   25
 4776,WITTENBERG                                  ,DE  ,+51:53:25,+012:38:47,  105
 4777,WITTMUNDHAFEN                               ,DE  ,+53:33:00,+007:40:00,    8
 4778,WITTSTOCK                                   ,DE  ,+53:10:59,+012:31:00,   72
 4779,WITTSTOCK-ROTE MUHLE                        ,DE  ,+53:11:15,+012:29:47,   66
 4780,WITZENHAUSEN                                ,DE  ,+51:21:02,+009:50:42,  133
 4781,WORNITZ-BOTTENWEILER                        ,DE  ,+49:13:08,+010:13:50,  464
 4782,WOLDEGK                                     ,DE  ,+53:27:47,+013:36:42,  118
 4783,WOLFACH                                     ,DE  ,+48:17:45,+008:14:24,  291
 4784,WOLFSBURG                                   ,DE  ,+52:26:33,+010:45:36,   56
 4785,WOLFSBURG (SUDWEST)                         ,DE  ,+52:23:51,+010:41:27,   82
 4786,WOLFSTEIN/PFALZ                             ,DE  ,+49:34:55,+007:37:27,  200
 4787,WORMS                                       ,DE  ,+49:36:20,+008:22:00,   88
 4788,WURZBURG (KLARWERK)                         ,DE  ,+49:47:51,+009:53:45,  170
 4789,WURZBURG (PHYSIKALISCHES-INSTITUT)          ,DE  ,+49:48:02,+009:55:45,  175
 4790,WUNSTORF                                    ,DE  ,+52:27:29,+009:25:41,   57
 4791,WUPPERTAL-BUCHENHOFEN                       ,DE  ,+51:13:33,+007:06:21,  130
 4792,REMSCHEID                                   ,DE  ,+51:12:23,+007:12:02,  235
 4793,WUSTRAU-ZIETHENHORST                        ,DE  ,+52:48:19,+012:52:23,   35
 4794,WUTOSCHINGEN-OFTERINGEN                     ,DE  ,+47:40:44,+008:22:50,  398
 4795,WRIXUM/FOHR                                 ,DE  ,+54:41:39,+008:31:41,    8
 4796,ZEHDENICK                                   ,DE  ,+52:58:05,+013:19:41,   51
 4797,ZEITZ                                       ,DE  ,+51:03:14,+012:08:39,  170
 4798,ZERBST                                      ,DE  ,+51:57:56,+012:06:03,   69
 4799,BOBLINGEN                                   ,DE  ,+48:40:36,+008:58:27,  445
 4800,ZINNOWITZ                                   ,DE  ,+54:04:54,+013:54:02,    2
 4801,ZINNWALD-GEORGENFELD                        ,DE  ,+50:43:58,+013:45:11,  877
 4802,BOHMING                                     ,DE  ,+48:56:45,+011:22:05,  379
 4803,LICHTENTANNE                                ,DE  ,+50:41:21,+012:26:03,  353
 4804,ZWIESEL                                     ,DE  ,+49:01:45,+013:14:25,  615
 4805,ZWIESELBERG                                 ,DE  ,+49:00:06,+013:12:55,  615
 4806,BASSUM (A)                                  ,DE  ,+52:50:58,+008:43:12,   36
 4808,BERGE                                       ,DE  ,+52:37:14,+012:47:20,   40
 4809,DANNENBERG                                  ,DE  ,+53:06:07,+011:02:48,   50
 4810,KIRCHHEIM/TECK-OTLINGEN                     ,DE  ,+48:39:33,+009:25:17,  289
 4811,BOFFZEN                                     ,DE  ,+51:45:11,+009:23:47,  105
 4812,BAD KOHLGRUB (A)                            ,DE  ,+47:40:42,+011:02:54,  850
 4813,MAINBURG                                    ,DE  ,+48:39:01,+011:46:42,  431
 4814,MELSUNGEN-BURSTOSS                          ,DE  ,+51:07:59,+009:31:12,  254
 4815,BOIZENBURG                                  ,DE  ,+53:23:35,+010:41:21,   45
 4816,NEUWIED                                     ,DE  ,+50:26:58,+007:25:41,   91
 4817,BOKEL                                       ,DE  ,+53:51:54,+009:44:08,   10
 4818,SCHONHAGEN (OSTSEEBAD)                      ,DE  ,+54:38:27,+010:01:28,    2
 4819,REIT IM WINKL                               ,DE  ,+47:40:33,+012:28:15,  685
 4820,BOLTENHAGEN                                 ,DE  ,+54:00:15,+011:11:31,   15
 4821,WELZHEIM (A)                                ,DE  ,+48:52:46,+009:38:07,  510
 4822,BONN                                        ,DE  ,+50:43:46,+007:05:04,   62
 4823,BONN-FRIESDORF                              ,DE  ,+50:42:24,+007:08:51,   62
 4825,BONN-ROLEBER                                ,DE  ,+50:44:11,+007:11:38,  159
 4826,BOOS                                        ,DE  ,+48:04:28,+010:12:05,  592
 4827,MELCHOW-SCHONHOLZ                           ,DE  ,+52:46:48,+013:45:38,   71
 4828,WENDISCH EVERN                              ,DE  ,+53:12:55,+010:28:18,   62
 4829,TAUBENHEIM-SEELIGSTADT                      ,DE  ,+51:05:06,+013:27:01,  273
 4830,OSTENFELD (RENDSBURG)                       ,DE  ,+54:19:15,+009:48:21,   14
 4831,GRAMBOW-SCHWENNENZ                          ,DE  ,+53:23:08,+014:22:27,   50
 4832,MEDOW-WUSSENTIN                             ,DE  ,+53:51:20,+013:29:48,   11
 4833,STRALSUND-DEVIN                             ,DE  ,+54:16:06,+013:08:40,    2
 4834,SOHLAND/SPREE                               ,DE  ,+51:03:38,+014:25:41,  290
 4835,BORGENTREICH-BUHNE                          ,DE  ,+51:34:19,+009:18:47,  240
 4836,WANGERLAND-HOOKSIEL                         ,DE  ,+53:38:30,+008:04:58,    8
 4837,WEIDENBACH-WEIHERSCHNEIDBACH                ,DE  ,+49:13:32,+010:36:34,  455
 4838,DORPEN                                      ,DE  ,+52:57:19,+007:19:09,    8
 4839,DORNICK                                     ,DE  ,+54:10:00,+010:21:14,   26
 4840,COSCHEN                                     ,DE  ,+52:01:14,+014:43:37,   40
 4841,BORKEN IN WESTFALEN                         ,DE  ,+51:52:27,+006:53:12,   48
 4842,MALLERSDORF-PFAFFENBERG                     ,DE  ,+48:46:36,+012:10:32,  404
 4844,NASTATTEN                                   ,DE  ,+50:12:00,+007:51:56,  268
 4845,SELB-SPIELBERG                              ,DE  ,+50:09:34,+012:02:25,  610
 4846,LUGDE-PAENBRUCH                             ,DE  ,+51:52:04,+009:16:19,  258
 4847,STEINHAGEN-NEGAST                           ,DE  ,+54:15:01,+013:02:35,   16
 4848,BORKUM-SUDERSTRASSE                         ,DE  ,+53:34:49,+006:40:22,   12
 4849,AITERHOFEN                                  ,DE  ,+48:50:43,+012:37:06,  339
 4850,SAARBRUCKEN-BURBACH                         ,DE  ,+49:14:30,+006:56:06,  190
 4851,DOLLNSTEIN-BREITENFURT                      ,DE  ,+48:52:40,+011:06:20,  394
 4852,FRIEDRICHSHAFEN-UNTERRADERACH               ,DE  ,+47:41:07,+009:26:30,  459
 4853,GROSSERLACH-MANNENWEILER                    ,DE  ,+49:01:18,+009:36:15,  523
 4854,INGELFINGEN-STACHENHAUSEN                   ,DE  ,+49:20:00,+009:42:18,  385
 4855,SCHWABISCH GMUND-WEILER                     ,DE  ,+48:46:14,+009:52:30,  413
 4856,SINGEN                                      ,DE  ,+47:46:28,+008:49:22,  445
 4857,BRILON-THULEN                               ,DE  ,+51:24:56,+008:39:02,  457
 4858,WUSTERWITZ                                  ,DE  ,+52:21:45,+012:23:18,   36
 4859,PABSTORF                                    ,DE  ,+52:01:54,+010:57:50,  112
 4860,MOORGRUND GRAFEN-NITZENDORF                 ,DE  ,+50:50:36,+010:15:10,  283
 4861,DEMKER                                      ,DE  ,+52:30:30,+011:51:23,   36
 4862,NOTZINGEN                                   ,DE  ,+48:40:18,+009:27:48,  325
 4863,PILSACH-LITZLOHE                            ,DE  ,+49:21:15,+011:30:24,  550
 4864,MUHLHAUSEN-GORMAR                           ,DE  ,+51:12:28,+010:29:45,  190
 4865,KARLSHAGEN                                  ,DE  ,+54:06:23,+013:49:33,    1
 4866,MARKT ERLBACH-MOSBACH                       ,DE  ,+49:31:57,+010:38:35,  362
 4867,NOSSEN                                      ,DE  ,+51:03:06,+013:18:09,  308
 4868,LOHR/MAIN-HALSBACH                          ,DE  ,+50:00:51,+009:39:18,  285
 4869,LUDINGHAUSEN-BROCHTRUP                      ,DE  ,+51:46:05,+007:31:13,   59
 4870,RUNKEL-ENNERICH                             ,DE  ,+50:23:44,+008:08:39,  168
 4871,MAISACH-GALGEN                              ,DE  ,+48:12:29,+011:12:16,  530
